******************** DIAGRAMAS DE ESFORCOS RESISTENTES ********************
PONTOS DO DIAGRAMA Nr Mrx

   PONTO          Nr               Mrx
  229     -6.284602E+02      4.955136E+03
  230     -6.532754E+02      4.409201E+03
  231     -6.780907E+02      3.863265E+03
  232     -7.029059E+02      3.317330E+03
  233     -7.277212E+02      2.771395E+03
  234     -7.525364E+02      2.225459E+03
  235     -7.773516E+02      1.679524E+03
  236     -8.021669E+02      1.133589E+03
  237     -8.269821E+02      5.876537E+02
  238     -8.517974E+02      4.171837E+01
  239     -8.536937E+02      0.000000E+00
  240     -8.536937E+02      0.000000E+00
  241     -8.536937E+02      0.000000E+00
  242     -8.536937E+02      0.000000E+00
  243     -8.536937E+02      0.000000E+00
  244     -8.536937E+02      0.000000E+00
  245     -8.536937E+02      0.000000E+00
  246     -8.536937E+02      0.000000E+00
  247     -8.536937E+02      0.000000E+00
  248     -8.536937E+02      0.000000E+00
  249     -8.536937E+02      0.000000E+00
  250     -8.536937E+02      0.000000E+00
  251     -8.536937E+02      0.000000E+00
  252     -8.536937E+02      0.000000E+00
  253     -8.536937E+02      0.000000E+00
  254     -8.536937E+02      0.000000E+00
  255     -8.536937E+02      0.000000E+00
  256     -8.536937E+02      0.000000E+00
  257     -8.536937E+02      0.000000E+00
  258     -8.536937E+02      0.000000E+00
  259     -8.536937E+02      0.000000E+00
  260     -8.536937E+02      0.000000E+00
  261     -8.536937E+02      0.000000E+00
  262     -8.536937E+02      0.000000E+00
  263     -8.536937E+02      0.000000E+00
  264     -8.536937E+02      0.000000E+00
  265     -8.536937E+02      0.000000E+00
  266     -8.536937E+02      0.000000E+00
  267     -8.536937E+02      0.000000E+00
  268     -8.536937E+02      0.000000E+00
  269     -8.536937E+02      0.000000E+00
  270     -8.536937E+02      0.000000E+00
  271     -8.536937E+02      0.000000E+00
  272     -8.536937E+02      0.000000E+00
  273     -8.536937E+02      0.000000E+00
  274     -8.536937E+02      0.000000E+00
  275     -8.536937E+02      0.000000E+00
  276     -8.536937E+02      0.000000E+00
  277     -8.536937E+02      0.000000E+00
  278     -8.536937E+02      0.000000E+00
  279     -8.536937E+02      0.000000E+00
  280     -8.536937E+02      0.000000E+00
  281     -8.536937E+02      0.000000E+00
  282     -8.536937E+02      0.000000E+00
  283     -8.536937E+02      0.000000E+00
  284     -8.536937E+02      0.000000E+00
  285     -8.536937E+02      0.000000E+00
  286     -8.536937E+02      0.000000E+00
  287     -8.536937E+02      0.000000E+00
  288     -8.536937E+02      0.000000E+00
  289     -8.536937E+02      0.000000E+00
  290     -8.536937E+02      0.000000E+00
  291     -8.536937E+02      0.000000E+00
  292     -8.536937E+02      0.000000E+00
  293     -8.536937E+02      0.000000E+00
  294     -8.536937E+02      0.000000E+00
  295     -8.536937E+02      0.000000E+00
  296     -8.536937E+02      0.000000E+00
  297     -8.536937E+02      0.000000E+00
  298     -8.536937E+02      0.000000E+00
  299     -8.536937E+02      0.000000E+00
  300     -8.536937E+02      0.000000E+00
  301     -8.536937E+02      0.000000E+00
  302     -8.536937E+02      0.000000E+00
  303     -8.536937E+02      0.000000E+00
  304     -8.536937E+02      0.000000E+00
  305     -8.536937E+02      0.000000E+00
  306     -8.536937E+02      0.000000E+00
  307     -8.536937E+02      0.000000E+00
  308     -8.536937E+02      0.000000E+00
  309     -8.536937E+02      0.000000E+00
  310     -8.536937E+02      0.000000E+00
  311     -8.536937E+02      0.000000E+00
  312     -8.536937E+02      0.000000E+00
  313     -8.536937E+02      0.000000E+00
  314     -8.536937E+02      0.000000E+00
  315     -8.536937E+02      0.000000E+00
  316     -8.536937E+02      0.000000E+00
  317     -8.536937E+02      0.000000E+00
  318     -8.536937E+02      0.000000E+00
  319     -8.536937E+02      0.000000E+00
  320     -8.536937E+02      0.000000E+00
  321     -8.536937E+02      0.000000E+00
  322     -8.536937E+02      0.000000E+00
  323     -8.536937E+02      0.000000E+00
  324     -8.536937E+02      0.000000E+00
  325     -8.536937E+02      0.000000E+00
  326     -8.536937E+02      0.000000E+00
  327     -8.536937E+02      0.000000E+00
  328     -8.536937E+02      0.000000E+00
  329     -8.536937E+02      0.000000E+00
  330     -8.536937E+02      0.000000E+00
  331     -8.536937E+02      0.000000E+00
  332     -8.536937E+02      0.000000E+00
  333     -8.536937E+02      0.000000E+00
  334     -8.536937E+02      0.000000E+00
  335     -8.536937E+02      0.000000E+00
  336     -8.536937E+02      0.000000E+00
  337     -8.536937E+02      0.000000E+00
  338     -8.536937E+02      0.000000E+00
  339     -8.536937E+02      0.000000E+00
  340     -8.536937E+02      0.000000E+00
  341     -8.536937E+02      0.000000E+00
  342     -8.536937E+02      0.000000E+00
  343     -8.536937E+02      0.000000E+00
  344     -8.536937E+02      0.000000E+00
  345     -8.536937E+02      0.000000E+00
  346     -8.536937E+02      0.000000E+00
  347     -8.536937E+02      0.000000E+00
  348     -8.536937E+02      0.000000E+00
  349     -8.536937E+02      0.000000E+00
